# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri May  8 15:19:57 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_facility like 'Transiting Exoplanet Survey Satellite (TESS)')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
DS Tuc A,b,DS Tuc A b,Transit,1,8.13826800,,0.000000,89.500,,,0.509,,0,0,0,1,23h39m39.48s,354.914490,-69d11m44.7s,-69.195747,44.12,44.12,8.469,V (Johnson),8.319,5428.00,1.01,0.96,2019-07-11,Transiting Exoplanet Survey Satellite (TESS)
GJ 1252,b,GJ 1252 b,Transit,1,0.51823490,0.009160,0.000000,85.000,0.00658,Mass,0.106,,0,0,0,0,20h27m42.06s,306.925235,-56d27m25.2s,-56.456990,20.38,20.38,12.193,V (Johnson),11.236,3458.00,0.38,0.39,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,b,GJ 143 b,Transit,2,35.61253000,0.191500,0.188000,89.330,0.07142,Mass,0.233,7.00000,0,0,0,1,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,16.33,7.870,V (Johnson),7.679,4640.00,0.73,0.69,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,b,GJ 357 b,Transit,3,3.93072000,0.035000,,89.120,0.00579,Mass,0.109,5.60000,0,0,0,0,09h36m01.64s,144.006821,-21d39m38.9s,-21.660797,9.44,9.44,10.920,V (Johnson),9.880,3505.00,0.34,0.34,2019-08-15,Transiting Exoplanet Survey Satellite (TESS)
HD 1397,b,HD 1397 b,Transit,1,11.53533000,0.109700,0.251000,88.990,0.41500,Mass,1.026,0.47700,0,0,0,1,00h17m47.15s,4.446472,-66d21m32.1s,-66.358910,79.75,79.75,7.781,V (Johnson),7.593,5521.00,1.32,2.34,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,b,HD 15337 b,Transit,2,4.75615000,0.052200,0.090000,88.500,0.02363,Mass,0.146,9.30000,0,0,0,1,02h27m28.38s,36.868240,-27d38m06.7s,-27.635206,44.87,44.87,9.088,V (Johnson),8.856,5125.00,0.90,0.86,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,c,HD 15337 c,Transit,2,17.17840000,0.126800,0.050000,88.500,0.02552,Mass,0.213,3.23000,0,0,0,1,02h27m28.38s,36.868240,-27d38m06.7s,-27.635206,44.87,44.87,9.088,V (Johnson),8.856,5125.00,0.90,0.86,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
HD 202772 A,b,HD 202772 A b,Transit,1,3.30895800,0.052080,0.038000,84.510,1.01700,Mass,1.545,0.34300,0,0,0,0,21h18m47.901s,319.699588,-26d36m58.95s,-26.616375,147.20,162.19,,,8.227,6272.00,1.72,2.59,2019-01-31,Transiting Exoplanet Survey Satellite (TESS)
HD 213885,b,HD 213885 b,Transit,2,1.00803500,0.020120,0.000000,80.090,0.02778,Mass,0.156,9.15000,0,0,0,0,22h35m56.32s,338.984650,-59d51m52.1s,-59.864468,47.97,48.16,7.996,V (Johnson),7.802,5978.00,1.07,1.10,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,c,HD 21749 c,Transit,2,7.78993000,0.069500,,88.900,0.01164,Mass,0.080,31.93000,0,0,0,0,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,16.33,7.870,V (Johnson),7.679,4640.00,0.73,0.69,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
HD 219666,b,HD 219666 b,Transit,1,6.03607000,0.063560,0.000000,86.380,0.05223,Mass,0.420,0.87000,0,0,0,0,23h18m13.630s,349.556792,-56d54m13.630s,-56.903786,94.43,94.43,,,9.650,5527.00,0.92,1.03,2019-03-05,Transiting Exoplanet Survey Satellite (TESS)
HD 221416,b,HD 221416 b,Transit,1,14.27670000,0.122800,0.115000,85.750,0.19000,Mass,0.836,0.43100,0,0,0,0,23h32m08.07s,353.033630,-21d48m05.1s,-21.801424,95.08,95.80,8.146,V (Johnson),7.908,5080.00,1.21,2.94,2019-04-18,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,b,HD 23472 b,Transit,2,17.66700000,0.121000,0.000000,,0.05638,Mass,,,0,0,0,0,03h41m50.40s,55.459988,-62d46m01.5s,-62.767075,39.08,39.08,9.724,V (Johnson),9.385,,0.75,0.73,2019-02-14,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,c,HD 23472 c,Transit,2,29.62500000,0.170000,0.000000,,0.05405,Mass,,,0,0,0,0,03h41m50.40s,55.459988,-62d46m01.5s,-62.767075,39.08,39.08,9.724,V (Johnson),9.385,,0.75,0.73,2019-02-14,Transiting Exoplanet Survey Satellite (TESS)
HD 2685,b,HD 2685 b,Transit,1,4.12688000,0.056800,0.091000,89.252,1.17000,Mass,1.440,,0,0,0,0,00h29m18.95s,7.328958,-76d18m14.62s,-76.304061,197.98,197.98,,,9.520,6801.00,1.43,1.56,2019-10-24,Transiting Exoplanet Survey Satellite (TESS)
HR 858,b,HR 858 b,Transit,3,3.58599000,0.048000,0.300000,85.500,,,0.186,,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,31.99,6.400,V (Johnson),6.248,6201.00,1.15,1.31,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HR 858,c,HR 858 c,Transit,3,5.97293000,0.067400,0.190000,86.230,,,0.173,,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,31.99,6.400,V (Johnson),6.248,6201.00,1.15,1.31,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HR 858,d,HR 858 d,Transit,3,11.23000000,0.102700,0.280000,87.430,,,0.193,,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,31.99,6.400,V (Johnson),6.248,6201.00,1.15,1.31,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
L 168-9,b,L 168-9 b,Transit,1,1.40150000,0.020910,0.210000,85.500,0.01447,Mass,0.124,9.60000,0,0,0,0,23h20m07.53s,350.031372,-60d03m54.7s,-60.065182,25.17,25.17,11.014,V (Johnson),10.232,3800.00,0.62,0.60,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
